1	45,6412728@ -73,8421469	PolygoneN	1,2,3,8,7,6,5,4,1
2	45,6415225@ -73,8417037	n	n
3	45,6416141@ -73,8418522	n	n
4	45,6414156@ -73,8422737	n	n
5	45,6413800@ -73,8423457	PolygoneD	5,6,9,12,21,20,14,13,11,10,5
6	45,6415682@ -73,8422341	n	n
7	45,6417492@ -73,8419132	n	n
8	45,6416605@ -73,8417945	n	n
9	45,6418957@ -73,8426622	n	n
10	45,6417496@ -73,8429063	n	n
11	45,6418947@ -73,8430649	n	n
12	45,6420565@ -73,8428711	PolygoneE	12,27,26,22,25,19,20,21,12
13	45,6420846@ -73,8433271	n	n
14	45,6422604@ -73,8435990	n	n
15	45,6421186@ -73,8438025	PolygoneC	15,14,20,19,18,17,16,15
16	45,6425850@ -73,8444489	n	n
17	45,6429741@ -73,8438746	n	n
18	45,6428227@ -73,8436587	n	n
19	45,6424955@ -73,8433274	PolygoneCM	19,25,24,23,18,19
20	45,6424453@ -73,8433968	n	n
21	45,6421887@ -73,8430823	n	n
22	45,6422620@ -73,8429932	n	n
23	45,6425693@ -73,8432144	n	n
24	45,6424498@ -73,8430398	n	n
25	45,6423851@ -73,8431259	PolygoneX	25,24,45,26,22,25
26	45,6423863@ -73,8428067	n	n
27	45,6422475@ -73,8425922	PolygoneS	27,28,29,34,45,26,27
28	45,6423056@ -73,8424467	n	n
29	45,6428131@ -73,8431598	n	n
30	45,6428818@ -73,8430582	PolygoneM	30,31,38,32,33,34,29,30
31	45,6430953@ -73,8433496	n	n
32	45,6428825@ -73,8436530	n	n
33	45,6426734@ -73,8433630	n	n
34	45,6427313@ -73,8432812	n	n
35	45,6430016@ -73,8429341	PolygoneK	35,30,31,38,37,36,35
36	45,6433440@ -73,8434612	n	n
37	45,6432357@ -73,8436007	n	n
38	45,6430663@ -73,8433955	n	n
39	45,6424683@ -73,8422213	PolygoneF	39,42,41,40,39
40	45,6429669@ -73,8423249	n	n
41	45,6429835@ -73,8421516	n	n
42	45,6425344@ -73,8420383	n	n
43	45,6424233@ -73,8419132	n	n
44	45,6422700@ -73,8421362	n	n

